,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
3,30.545391082763672,0.6613297606118492,0.15963655710220337,0.028170947694251953,gini,30,10,0.8951920739988849,0.8965073555692167,0.8963643901811371,0.8960879904308501,0.8960379525450222,0.0005111054280255445,94,0.9956045946044692,0.9942337110279085,0.9955076955335882,0.9945688865025948,0.9949787219171402,0.0005904523688943712
110,68.66001749038696,2.526368060279169,0.2428249716758728,0.021607277382801476,gini,100,16,0.8962023627413137,0.895473239262108,0.896102286969658,0.8961833006895698,0.8959902974156624,0.0003008790290315154,95,1.0,1.0,1.0,1.0,1.0,0.0
22,56.3334863781929,3.5767556685414235,0.20201510190963745,0.018597709332391025,gini,45,16,0.8959402595298345,0.8949395018132776,0.8964882935174727,0.8965407141597685,0.8959771922550884,0.0006436122506380077,96,0.9998332065173362,0.9998316180079775,0.9999634642847498,0.9999046894384779,0.9998832445621353,5.4918561614499926e-05
85,60.886774599552155,1.4564608912552368,0.24839574098587036,0.009226635279322428,gini,85,14,0.8962929074870973,0.8954923013138519,0.8961928317154417,0.8959259629910266,0.8959760008768544,0.00030980415969005616,97,1.0,1.0,1.0,1.0,1.0,0.0
60,50.88305366039276,2.056858153610182,0.2359602451324463,0.01118204921716577,gini,70,12,0.8950586396366773,0.8962500178706735,0.896083224917914,0.896392983258753,0.8959462164210045,0.0005240371657704302,98,1.0,1.0,1.0,1.0,1.0,0.0
71,78.81690102815628,1.715012011222252,0.22554785013198853,0.01446410828486586,gini,75,18,0.8961070524825939,0.8955780805466996,0.8952969152834765,0.8966884450607842,0.8959176233433885,0.0005316524534909668,99,1.0,1.0,1.0,1.0,1.0,0.0
62,72.54258877038956,2.7589399139326347,0.2368832230567932,0.020558209114441332,gini,70,16,0.8950395775849334,0.8952635566929247,0.8968171139100557,0.896421576336369,0.8958854561310706,0.0007512789957223115,100,1.0,1.0,1.0,1.0,1.0,0.0
93,57.57395017147064,4.0262567043304305,0.23881030082702637,0.014911161354493852,gini,90,14,0.8950109845073174,0.8963453281293932,0.8958783078616667,0.8962404868448015,0.8958687768357947,0.0005246827578344017,101,1.0,1.0,1.0,1.0,1.0,0.0
55,78.05166804790497,2.161481282997981,0.24304449558258057,0.02668691559794249,gini,65,18,0.8958830733746027,0.895125356817781,0.8962643144094815,0.8961880662025057,0.8958652027010927,0.0004503393965506979,102,1.0,1.0,1.0,1.0,1.0,0.0
109,62.655837655067444,1.7510286302929399,0.22993993759155273,0.0047568749684298,gini,100,14,0.8960022111980023,0.8950062189943815,0.8967837553195038,0.8955971425984436,0.8958473320275828,0.0006463246135178823,103,1.0,1.0,1.0,1.0,1.0,0.0
31,99.61124849319458,7.203972237912558,0.2783925533294678,0.012182482746285169,gini,50,18,0.8958830733746027,0.8950586396366773,0.8957448734994591,0.8966646174961042,0.8958378010017108,0.0005703952700942947,104,0.9999698183221847,0.9999904689438478,0.9999968229812826,0.9999904689438478,0.9999868947977907,1.019465407267586e-05
15,59.034023344516754,2.9900029500306613,0.16618669033050537,0.019573502617578408,gini,40,18,0.8962404868448015,0.8951110602789731,0.8953350393869645,0.8966312589055523,0.8958294613540728,0.0006269717804357126,105,0.9993407686161383,0.9994821459490628,0.9996664130346724,0.9995091506081608,0.9994996195520086,0.00011559612181781484
122,38.55595952272415,0.6331984684779652,0.20102739334106445,0.012368863536095669,entropy,30,7,0.8955351909302758,0.8965407141597685,0.8962738454353535,0.8949013777097898,0.8958127820587969,0.0006422965247549956,106,0.9971168555139542,0.9964353849990707,0.997075554270628,0.9966228291033976,0.9968126559717627,0.000291556385543635
